episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,success,crash,out,max_step,cost,length,takeover,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/pid_error,info/mean_online_episode_cost,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_td_error,info/learner/default_policy/mean_c_td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/cost_critic_loss,info/learner/default_policy/alpha_loss,info/learner/default_policy/lambda_value,info/learner/default_policy/alpha_value,info/learner/default_policy/target_entropy,info/learner/default_policy/c_td_target,info/learner/default_policy/mean_q,info/learner/default_policy/mean_c_q,info/learner/default_policy/max_q,info/learner/default_policy/max_c_q,info/learner/default_policy/min_q,info/learner/default_policy/min_c_q,info/learner/default_policy/c_q_tp1,info/learner/default_policy/mean_batch_cost,info/learner/default_policy/reward_loss,info/learner/default_policy/cost_loss
307.74489122256864,216.675012877863,286.35403164658646,378.2,0,0,2100,False,5,21,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-52-03,1752522723,19.301329374313354,401.5462877750397,1607147,pouyan-XPS-15-9500,192.168.2.18,401.5462877750397,0,21,0.8,0.0,0.2,0.0,0.2,378.2,301.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226]","[406, 392, 300, 388, 405]",44.253,23139.753,[12.23985926],[15.23985926],2100,2049024,2100,1001,32.588888888888896,54.266666666666666,3.9638658,0.034793638,4.9462843,-5.2959976,0.012887698,0.0030377042,1.5601085,0.9926579,-2,0.016188595,-3.358018,0.0009891042,14.824893,0.12313272,-37.28666,-0.06393402,-0.0078065386,0.023960983,4.9453373,0.00094659475
307.74489122256864,216.675012877863,286.35403164658646,378.2,0,0,2200,False,5,22,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-52-22,1752522742,19.21659231185913,420.7628800868988,1607147,pouyan-XPS-15-9500,192.168.2.18,420.7628800868988,0,22,0.8,0.0,0.2,0.0,0.2,378.2,301.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226]","[406, 392, 300, 388, 405]",45.206,22651.789,[12.23985926],[15.23985926],2200,2151424,2200,1051,32.29642857142857,54.22500000000001,3.509193,0.033811282,6.308759,-14.587548,0.013140019,0.00021182743,1.5601085,0.9957358,-2,0.023046248,-4.640744,-0.0062683234,13.19997,0.13232833,-36.52218,-0.08315507,-0.0021042451,0.025149552,6.314292,-0.005532803
307.74489122256864,216.675012877863,288.65655605501405,379.3333333333333,1,0,2300,False,6,23,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-52-41,1752522761,18.278727769851685,439.0416078567505,1607147,pouyan-XPS-15-9500,192.168.2.18,439.0416078567505,0,23,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,379.3333333333333,291.1666666666667,10197_00000,0_seed=0,"[300.16917809715187, 307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226]","[385, 406, 392, 300, 388, 405]",47.669,21481.453,[18.90686798],[21.90686798],2300,2253824,2300,1101,29.25,54.23846153846154,3.7779357,0.040088996,5.9353056,-16.042728,0.011039406,0.0005657434,2.2871075,0.9977819,-2,0.026686378,-4.237319,0.022517052,11.828627,0.10156509,-34.911762,-0.06827941,0.0051426534,0.021595154,5.9122953,0.023010261
307.74489122256864,216.675012877863,288.65655605501405,379.3333333333333,0,0,2400,False,6,24,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-53-00,1752522780,18.876323699951172,457.91793155670166,1607147,pouyan-XPS-15-9500,192.168.2.18,457.91793155670166,0,24,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,379.3333333333333,291.1666666666667,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187]","[406, 392, 300, 388, 405, 385]",45.936,22291.763,[18.90686798],[21.90686798],2400,2356224,2400,1151,31.31111111111111,54.288888888888884,3.3651724,0.027154509,6.7741575,-23.137669,0.00581674,5.2695683e-05,2.2871075,0.9991983,-2,0.020503279,-4.9349003,0.023352921,13.028675,0.12276379,-32.805286,-0.06679852,0.010035718,0.010595902,6.7493715,0.024786634
307.74489122256864,216.675012877863,288.65655605501405,379.3333333333333,0,0,2500,False,6,25,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-53-19,1752522799,19.561453819274902,477.47938537597656,1607147,pouyan-XPS-15-9500,192.168.2.18,477.47938537597656,0,25,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,379.3333333333333,291.1666666666667,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187]","[406, 392, 300, 388, 405, 385]",45.487,22511.833,[18.90686798],[21.90686798],2500,2458624,2500,1201,32.64642857142857,54.29999999999999,3.4603515,0.0556197,7.3188267,-21.037128,0.008761732,-0.0001259025,2.2871075,1.0009525,-2,0.03215449,-5.4716287,0.05795572,12.546392,0.41806498,-33.67067,-0.03810955,0.016832292,0.015664827,7.260124,0.058703035
307.74489122256864,216.675012877863,288.65655605501405,379.3333333333333,0,0,2600,False,6,26,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-53-39,1752522819,19.475022315979004,496.95440769195557,1607147,pouyan-XPS-15-9500,192.168.2.18,496.95440769195557,0,26,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,379.3333333333333,291.1666666666667,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187]","[406, 392, 300, 388, 405, 385]",41.246,24826.53,[18.90686798],[21.90686798],2600,2561024,2600,1251,31.660714285714285,54.324999999999996,3.4451296,0.037529163,7.5639105,-21.948711,0.0073167095,-0.0007868701,2.2871075,1.0034127,-2,0.035865307,-5.781123,0.041523702,11.990177,0.08904847,-39.19301,-0.052107383,0.02135876,0.014906056,7.520113,0.043797556
307.74489122256864,216.675012877863,290.9279059858184,380.57142857142856,1,0,2700,False,7,27,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-53-58,1752522838,18.499125957489014,515.4535336494446,1607147,pouyan-XPS-15-9500,192.168.2.18,515.4535336494446,0,27,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,380.57142857142856,303.42857142857144,10197_00000,0_seed=0,"[304.5560055706443, 307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187]","[388, 406, 392, 300, 388, 405, 385]",46.113,22206.462,[14.43044154],[17.43044154],2700,2663424,2700,1301,29.68076923076923,54.29999999999999,3.253358,0.02543084,8.476403,-26.598518,0.0078450795,-0.000202833,2.019127,1.0059385,-2,0.043349802,-6.6115236,0.03189277,10.771092,0.28026816,-33.198036,-0.08547604,0.028778225,0.014977794,8.443634,0.032769203
307.74489122256864,216.675012877863,290.9279059858183,380.57142857142856,0,0,2800,False,7,28,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-54-17,1752522857,18.999556064605713,534.4530897140503,1607147,pouyan-XPS-15-9500,192.168.2.18,534.4530897140503,0,28,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,380.57142857142856,303.42857142857144,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187, 304.5560055706443]","[406, 392, 300, 388, 405, 385, 388]",45.51,22500.688,[14.43044154],[17.43044154],2800,2765824,2800,1351,30.751851851851857,54.30370370370369,3.6456704,0.029351298,7.820406,-17.675549,0.0108015295,-0.0008688794,2.019127,1.0087708,-2,0.050243996,-6.491002,0.03176751,11.077353,0.1152057,-41.784298,-0.0880179,0.031431586,0.019309828,7.788563,0.03184341
307.74489122256864,216.675012877863,290.9279059858183,380.57142857142856,0,0,2900,False,7,29,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-54-37,1752522877,19.93225908279419,554.3853487968445,1607147,pouyan-XPS-15-9500,192.168.2.18,554.3853487968445,0,29,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,380.57142857142856,303.42857142857144,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187, 304.5560055706443]","[406, 392, 300, 388, 405, 385, 388]",47.137,21724.088,[14.43044154],[17.43044154],2900,2868224,2900,1401,32.14137931034483,54.3103448275862,3.4086304,0.031731423,9.473199,-29.025934,0.0075498875,-0.0038150554,2.019127,1.0128335,-2,0.052953146,-7.7752876,0.051109474,10.806706,0.13610977,-41.660973,-0.0768422,0.038528897,0.014809535,9.420438,0.05276167
307.74489122256864,216.675012877863,290.9279059858183,380.57142857142856,0,0,3000,False,7,30,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-54-56,1752522896,19.419861793518066,573.8052105903625,1607147,pouyan-XPS-15-9500,192.168.2.18,573.8052105903625,0,30,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,380.57142857142856,303.42857142857144,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226, 300.16917809715187, 304.5560055706443]","[406, 392, 300, 388, 405, 385, 388]",36.597,27980.298,[14.43044154],[17.43044154],3000,2970624,3000,1451,31.217857142857138,54.11071428571428,3.4103394,0.027030583,9.940703,-20.95657,0.0067512593,-0.0052823527,2.019127,1.0181019,-2,0.05603237,-8.406135,0.05180265,10.498254,0.2556502,-44.446217,-0.05333851,0.044113524,0.0125902835,9.885323,0.05538176
